food
good
place
great
service
restaurant
time
like
get
one
really
go
also
order
back
ordered
would
best
menu
delicious
come
try
always
love
price
definitely
nice
well
pretty
lunch
came
u
got
friendly
make
amazing
much
5
eat
even
first
favorite
table
everything
meal
flavor
taste
lot
portion
take
staff
thing
better
bit
recommend
dinner
people
made
friend
star
tried
wait
3
2
know
never
right
want
think
could
say
still
went
experience
excellent
small
drink
since
two
many
night
sure
way
fast
4
give
server
though
around
day
item
quality
super
family
ever
every
new
big
area
next
clean
authentic
large
year
different
find
going
awesome
worth
overall
review
enough
style
quite
quick
something
spot
see
10
coming
happy
busy
option
visit
perfect
usually
looking
huge
bad
eating
found
probably
location
home
however
look
minute
must
cooked
kind
hour
need
decent
1
loved
enjoyed
last
served
customer
inside
another
feel
atmosphere
actually
highly
nothing
choice
tasted
la
selection
town
fun
far
size
took
thought
yummy
said
especially
dining
enjoy
attentive
away
owner
cheap
bar
ask
variety
group
delivery
open
decor
le
ok
amount
reasonable
wanted
anything
decided
everyone
used
6
disappointed
ordering
fantastic
let
waiter
husband
fan
yelp
almost
else
check
work
maybe
extra
hard
waitress
high
regular
without
chef
week
piece
couple
least
free
absolutely
quickly
point
end
8
three
although
trying
seated
close
expect
getting
wonderful
may
ate
average
asked
left
put
7
perfectly
add
name
line
packed
type
late
part
serve
keep
person
okay
often
wish
might
bring
offer
general
gave
parking
wall
outside
bite
second
texture
choose
wife
tell
course
vegetarian
either
chinatown
weekend
use
light
party
several
yes
hit
stop
ingredient
recommended
ton
pick
kitchen
15
yet
oh
20
room
helpful
brought
done
traditional
deal
extremely
old
live
instead
stuff
wrong
30
prepared
priced
50
typical
reason
expensive
return
main
standard
looked
sometimes
able
guy
eaten
making
cool
glad
plenty
surprised
tip
impressed
ball
remember
finally
front
share
trip
generous
seems
flavour
unique
care
soon
felt
seemed
mean
start
fusion
door
today
located
twice
kid
lo
ambiance
waiting
sit
started
serving
level
pay
reservation
etc
simple
fact
told
value
mouth
mind
lady
arrived
filled
fine
local
expected
bland
toronto
ago
w
easy
already
takeout
seating
business
wow
hong
kong
dan
walk
interesting
hungry
pulled
drive
sunday
tasting
believe
drop
cut
pricey
early
rather
9
solid
lol
miss
others
boyfriend
saw
help
added
leftover
ended
bill
month
skin
someone
street
valley
ready
casino
given
later
along
slightly
four
call
per
show
thank
five
near
warm
glass
saturday
guess
seem
usual
affordable
slow
99
run
including
needed
sat
juicy
mom
dine
together
complaint
cash
anyone
walked
called
seat
favourite
joint
totally
rest
past
pleasant
city
non
12
stopped
honestly
list
compared
recommendation
available
cup
leave
problem
opened
fancy
outstanding
picture
english
evening
man
money
heat
shared
fairly
space
note
similar
95
across
satisfied
change
prefer
cooking
number
life
within
fair
hotel
friday
surprise
beautiful
cost
exactly
seriously
feeling
kept
finish
watch
birthday
offered
11
knew
beat
sign
heard
nicely
crowded
entire
please
date
mall
sticker
job
seen
popular
easily
efficient
consistent
recently
manager
min
included
visiting
hope
gone
version
p
incredible
immediately
forward
read
opinion
literally
rating
taking
world
interior
cafe
modern
sitting
empty
e
counter
expectation
casual
crazy
reasonably
waited
moved
n
kinda
establishment
king
stay
box
mostly
chance
idea
young
expecting
anywhere
pf
treat
excited
presentation
normally
limited
except
sort
giving
express
smaller
weird
san
visited
unfortunately
basically
25
die
upon
working
kick
thanks
card
speak
breakfast
wide
girl
hidden
tiny
delivered
greeted
charge
truly
issue
perfection
music
considering
surprisingly
overly
window
smell
downtown
disappoint
shop
environment
cute
simply
msg
certainly
0
otherwise
noticed
lived
understand
tonight
forget
loud
hk
word
total
whenever
sized
classic
anyway
consistently
cannot
polite
son
mine
refill
dollar
rich
despite
100
personally
suggest
heavy
medium
taken
mention
single
pleasantly
ambience
completely
24
smile
rock
round
offering
chose
diner
unless
prompt
crowd
fix
finished
addition
employee
americanized
pricing
store
plaza
matter
notch
deliver
stand
alone
neighborhood
walking
comfortable
normal
afternoon
strong
saying
higher
freshly
flat
daughter
TRUE
morning
touch
hostess
question
case
whatever
face
phone
write
pleased
lack
mood
behind
bigger
arizona
closed
brunch
sound
compare
corner
mediocre
clear
comfort
sample
longer
inexpensive
concept
thinking
rush
perhaps
accommodating
picky
original
request
lacking
personal
changed
plan
